2024-03-21 11:21:54,665 INFO    StreamThr :54420 [internal.py:wandb_internal():89] W&B internal server running at pid: 54420, started at: 2024-03-21 11:21:54.659109
2024-03-21 11:21:54,675 DEBUG   HandlerThread:54420 [handler.py:handle_request():146] handle_request: status
2024-03-21 11:21:54,678 INFO    WriterThread:54420 [datastore.py:open_for_write():87] open: /storage/user/hank/methods_test/NeO-360/wandb/offline-run-20240321_112154-3lr3srhj/run-3lr3srhj.wandb
2024-03-21 11:21:54,757 DEBUG   HandlerThread:54420 [handler.py:handle_request():146] handle_request: run_start
2024-03-21 11:21:54,785 DEBUG   HandlerThread:54420 [system_info.py:__init__():27] System info init
2024-03-21 11:21:54,785 DEBUG   HandlerThread:54420 [system_info.py:__init__():42] System info init done
2024-03-21 11:21:54,785 INFO    HandlerThread:54420 [system_monitor.py:start():194] Starting system monitor
2024-03-21 11:21:54,789 INFO    HandlerThread:54420 [system_monitor.py:probe():214] Collecting system info
2024-03-21 11:21:54,789 INFO    SystemMonitor:54420 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-03-21 11:21:54,791 INFO    SystemMonitor:54420 [interfaces.py:start():190] Started cpu monitoring
2024-03-21 11:21:54,796 INFO    SystemMonitor:54420 [interfaces.py:start():190] Started disk monitoring
2024-03-21 11:21:54,799 INFO    SystemMonitor:54420 [interfaces.py:start():190] Started gpu monitoring
2024-03-21 11:21:54,802 INFO    SystemMonitor:54420 [interfaces.py:start():190] Started memory monitoring
2024-03-21 11:21:54,803 INFO    SystemMonitor:54420 [interfaces.py:start():190] Started network monitoring
2024-03-21 11:21:54,836 DEBUG   HandlerThread:54420 [system_info.py:probe():151] Probing system
2024-03-21 11:21:54,846 DEBUG   HandlerThread:54420 [system_info.py:_probe_git():136] Probing git
2024-03-21 11:21:54,922 DEBUG   HandlerThread:54420 [system_info.py:_probe_git():144] Probing git done
2024-03-21 11:21:54,923 DEBUG   HandlerThread:54420 [system_info.py:probe():199] Probing system done
