2024-03-21 11:19:48,452 INFO    StreamThr :50297 [internal.py:wandb_internal():89] W&B internal server running at pid: 50297, started at: 2024-03-21 11:19:48.449421
2024-03-21 11:19:48,455 DEBUG   HandlerThread:50297 [handler.py:handle_request():146] handle_request: status
2024-03-21 11:19:48,460 INFO    WriterThread:50297 [datastore.py:open_for_write():87] open: /storage/user/hank/methods_test/NeO-360/wandb/offline-run-20240321_111948-0wkscxch/run-0wkscxch.wandb
2024-03-21 11:19:48,545 DEBUG   HandlerThread:50297 [handler.py:handle_request():146] handle_request: run_start
2024-03-21 11:19:48,573 DEBUG   HandlerThread:50297 [system_info.py:__init__():27] System info init
2024-03-21 11:19:48,573 DEBUG   HandlerThread:50297 [system_info.py:__init__():42] System info init done
2024-03-21 11:19:48,573 INFO    HandlerThread:50297 [system_monitor.py:start():194] Starting system monitor
2024-03-21 11:19:48,580 INFO    HandlerThread:50297 [system_monitor.py:probe():214] Collecting system info
2024-03-21 11:19:48,581 INFO    SystemMonitor:50297 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-03-21 11:19:48,585 INFO    SystemMonitor:50297 [interfaces.py:start():190] Started cpu monitoring
2024-03-21 11:19:48,586 INFO    SystemMonitor:50297 [interfaces.py:start():190] Started disk monitoring
2024-03-21 11:19:48,587 INFO    SystemMonitor:50297 [interfaces.py:start():190] Started gpu monitoring
2024-03-21 11:19:48,589 INFO    SystemMonitor:50297 [interfaces.py:start():190] Started memory monitoring
2024-03-21 11:19:48,591 INFO    SystemMonitor:50297 [interfaces.py:start():190] Started network monitoring
2024-03-21 11:19:48,611 DEBUG   HandlerThread:50297 [system_info.py:probe():151] Probing system
2024-03-21 11:19:48,625 DEBUG   HandlerThread:50297 [system_info.py:_probe_git():136] Probing git
2024-03-21 11:19:48,843 DEBUG   HandlerThread:50297 [system_info.py:_probe_git():144] Probing git done
2024-03-21 11:19:48,843 DEBUG   HandlerThread:50297 [system_info.py:probe():199] Probing system done
